Search field,Alias 1,Alias 2,Reference in the eForms SDK,Comments
buyer-post-code,-,-,BT-512-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-profile,BT-508-Procedure-Buyer,-,BT-508-Procedure-Buyer,-
buyer-review-compainants-code,BT-712(a)-LotResult,-,BT-712(a)-LotResult,-
buyer-review-compainants-val,BT-712(b)-LotResult,-,BT-712(b)-LotResult,-
buyer-reviewrequests-irregularity-type,BT-636-LotResult,-,BT-636-LotResult,-
buyer-reviewrequests-irregularity-type-val,BT-635-LotResult,-,BT-635-LotResult,-
buyer-touchpoint-city,-,-,BT-512-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-touchpoint-contact-point,-,-,BT-502-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-touchpoint-country,-,-,BT-514-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-touchpoint-country-sub,-,-,BT-507-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-touchpoint-email,-,-,BT-506-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-touchpoint-gateway,-,-,BT-509-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-touchpoint-internet-address,-,-,BT-505-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-touchpoint-name,-,-,BT-500-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-touchpoint-partname,-,-,BT-16-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
buyer-touchpoint-post-code,-,-,BT-512-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],-
change-description,BT-141(a)-notice,-,BT-141(a)-notice,-
change-notice-version-identifier,BT-758-notice,-,BT-758-notice,-
change-previous-notice-section-identifier,BT-13716-notice,-,BT-13716-notice,-
change-procurement-documents,BT-718-notice,-,BT-718-notice,-
change-procurement-documents-date,BT-719-notice,-,BT-719-notice,-
change-reason-code,BT-140-notice,-,BT-140-notice,-
change-reason-description,BT-762-notice,-,BT-762-notice,-
classification-cpv,PC,-,"BT-262-Procedure
BT-263-Procedure
BT-262-Part
BT-263-Part
BT-262-Lot
BT-263-Lot",-
competition-termination-proc,BT-756-Procedure,-,BT-756-Procedure,-
concession-revenue-buyer,BT-160-Tender,-,BT-160-Tender,-
concession-revenue-cur-buyer,,-,BT-160-Tender,-
concession-revenue-cur-user,,-,BT-162-Tender,-
concession-revenue-user,BT-162-Tender,-,BT-162-Tender,-
concession-value-description,BT-163-Tender,-,BT-163-Tender,-
contact-nature-main-part,BT-23-Part,-,BT-23-Part,-
contract-conclusion-date,BT-145-Contract,-,BT-145-Contract,-
contract-conditions-code-lot,OPP-030-Tender,-,OPP-030-Tender,-
contract-conditions-description-lot,OPP-031-Tender,-,OPP-031-Tender,-
contract-duration-end-date-lot,BT-537-Lot,-,BT-537-Lot,-
contract-duration-end-date-part,BT-537-Part,-,BT-537-Part,-
contract-duration-period-lot,BT-36-Lot,-,BT-36-Lot,"A unit suffix should be used to search a period with expert query  (e.g. contract-duration-period-val-lot=5d). ""d"", ""m"" and ""y"" units are allowed.
The value is internally indexed in days.
Here is the conversion table used for search:
- 1w=1d
- 1m=30.5d
- 12m=365d
- 1y=365d
The resulting number of days will be always floored (i.e. a duration of 1 month is converted into 30.5 days, that is floored to 30 days)."
contract-duration-period-oth-lot,BT-538-Lot,-,BT-538-Lot,-
contract-duration-period-oth-part,BT-538-Part,-,BT-538-Part,-
contract-duration-period-part,BT-36-Part,-,BT-36-Part,"A unit suffix should be used to search a period with expert query  (e.g. contract-duration-period-val-lot=5d). ""d"", ""m"" and ""y"" units are allowed.
The value is internally indexed in days.
Here is the conversion table used for search:
- 1w=1d
- 1m=30.5d
- 12m=365d
- 1y=365d
The resulting number of days will be always floored (i.e. a duration of 1 month is converted into 30.5 days, that is floored to 30 days)."
contract-duration-start-date-lot,BT-536-Lot,-,BT-536-Lot,-
contract-duration-start-date-part,BT-536-Part,-,BT-536-Part,-
contract-framework-agreement,BT-768-Contract,-,BT-768-Contract,-
contract-identifier,BT-150-Contract,-,BT-150-Contract,-
contract-nature,NC,-,"BT-23-Procedure
BT-23-Part
BT-23-Lot",-
contract-nature-add-lot,BT-531-Lot,-,BT-531-Lot,-
contract-nature-add-part,BT-531-Part,-,BT-531-Part,-
contract-nature-add-proc,BT-531-Procedure,-,BT-531-Procedure,-
contract-nature-main-lot,BT-23-Lot,-,BT-23-Lot,-
contract-nature-main-proc,BT-23-Procedure,-,BT-23-Procedure,-
contract-nature-subtype,OPP-040-Procedure,-,OPP-040-Procedure,-
contract-title,BT-721-Contract,-,BT-721-Contract,-
contract-url,BT-151-Contract,-,BT-151-Contract,-
corporate-body,-,-,BT-501-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer],Corporate body corresponds to the prefix of retrieved values
country-origin,BT-191-Tender,-,BT-191-Tender,-
cross-border-law-description-proc,BT-09(b)-Procedure,-,BT-09(b)-Procedure,-
cross-border-law-identifier-proc,BT-09(a)-Procedure,-,BT-09(a)-Procedure,-
csecurity-clearance-description-lot,BT-732-Lot,-,BT-732-Lot,-
deadline,DD,-,"BT-13(d)-Part
BT-13(d)-Lot",-
deadline-date-lot,BT-13(d)-Lot,-,BT-13(d)-Lot,-
deadline-date-part,BT-13(d)-Part,-,BT-13(d)-Part,-
deadline-receipt-expressions-date-lot,BT-630(d)-Lot,-,BT-630(d)-Lot,-
deadline-receipt-expressions-time-lot,BT-630(t)-Lot,-,BT-630(t)-Lot,"Time fields can be searchable in expert search using hhmmss format (e.g. deadline-receipt-expressions-time-lot=010355).
In the interface/search result export, the time should be displayed with a timezone."
deadline-receipt-request,DT,-,"BT-630(d)-Lot
BT-1311(d)-Lot
BT-131(d)-Lot",-
deadline-receipt-request-date-lot,BT-1311(d)-Lot,-,BT-1311(d)-Lot,-
deadline-receipt-request-time-lot,BT-1311(t)-Lot,-,BT-1311(t)-Lot,-
deadline-receipt-tender-date-lot,BT-131(d)-Lot,-,BT-131(d)-Lot,-
deadline-receipt-tender-time-lot,BT-131(t)-Lot,-,BT-131(t)-Lot,-
deadline-time-lot,BT-13(t)-Lot,-,BT-13(t)-Lot,-
deadline-time-part,BT-13(t)-Part,-,BT-13(t)-Part,-
description-glo,BT-24-LotsGroup,-,BT-24-LotsGroup,-
description-lot,BT-24-Lot,-,BT-24-Lot,-
description-part,BT-24-Part,-,BT-24-Part,-
description-proc,BT-24-Procedure,-,BT-24-Procedure,-
direct-award-justification-previous-procedure-identifier-proct,BT-1252-Procedure,-,BT-1252-Procedure,-
direct-award-justification-proc,BT-136-Procedure,-,BT-136-Procedure,-
direct-award-justification-text-proc,BT-135-Procedure,-,BT-135-Procedure,-
dispatch-date,DS,BT-05(a)-notice,BT-05(a)-notice,-
dispatch-invitation-interest-lot,BT-631-Lot,-,BT-631-Lot,-
dispatch-invitation-tender-lot,BT-130-Lot,-,BT-130-Lot,-
dispatch-time,BT-05(b)-notice,-,BT-05(b)-notice,-
document-official-language-lot,BT-708-Lot,-,BT-708-Lot,-
document-official-language-part,BT-708-Part,-,BT-708-Part,-
document-restricted-justification,BT-707-Lot,-,BT-707-Lot,-
document-restricted-justification-part,BT-707-Part,-,BT-707-Part,-
document-restricted-lot,BT-14-Lot,-,BT-14-Lot,-
document-restricted-part,BT-14-Part,-,BT-14-Part,-
document-restricted-url-lot,BT-615-Lot,-,BT-615-Lot,-
document-restricted-url-part,BT-615-Part,-,BT-615-Part,-
document-unofficial-language-lot,BT-737-Lot,-,BT-737-Lot,-
document-unofficial-language-part,BT-737-Part,-,BT-737-Part,-
document-url-lot,BT-15-Lot,-,BT-15-Lot,-
document-url-part,BT-15-Part,-,BT-15-Part,-
dps-termination-lot,BT-119-LotResult,-,BT-119-LotResult,-
dps-usage-lot,BT-766-Lot,-,BT-766-Lot,-
ecatalog-allowed-lot,BT-764-Lot,-,BT-764-Lot,-
electronic-auction-description-lot,BT-122-Lot,-,BT-122-Lot,-
electronic-auction-lot,BT-767-Lot,-,BT-767-Lot,-
electronic-auction-lot-url,BT-123-Lot,-,BT-123-Lot,-
electronic-invoicing-lot,BT-743-Lot,-,BT-743-Lot,-
electronic-ordering-lot,BT-92-Lot,-,BT-92-Lot,-
electronic-payment-lot,BT-93-Lot,-,BT-93-Lot,-
electronic-signature-lot,BT-744-Lot,-,BT-744-Lot,-
electronic-submission-lot,BT-17-Lot,-,BT-17-Lot,-
entity-main-activity,BT-610-Procedure-Buyer,-,BT-610-Procedure-Buyer,-
environmental-impact-lot,BT-774-Lot,-,BT-774-Lot,-
estimated-value-cur-glo,,-,BT-27-LotsGroup,-
estimated-value-cur-lot,,-,BT-27-Lot,-
estimated-value-cur-part,,-,BT-27-Part,-
estimated-value-cur-proc,,-,BT-27-Procedure,-
estimated-value-glo,BT-27-LotsGroup,-,BT-27-LotsGroup,-
estimated-value-lot,BT-27-Lot,-,BT-27-Lot,-
estimated-value-part,BT-27-Part,-,BT-27-Part,-
estimated-value-proc,BT-27-Procedure,-,BT-27-Procedure,-
eu-fund-lot,BT-60-Lot,-,BT-60-Lot,-
eu-funds-identifier,BT-5011-Contract,-,BT-5011-Contract,-
eu-funds-name,BT-722-Contract,-,BT-722-Contract,-
eu-registration-number,BT-501-Business-European,-,BT-501-Business-European,-
exclusion-grounds,BT-67(a)-Procedure,-,BT-67(a)-Procedure,-
exclusion-grounds-description,BT-67(b)-Procedure,-,BT-67(b)-Procedure,-
exclusion-grounds-source-proc,BT-806-Procedure,-,BT-806-Procedure,-
following-contract-lot,BT-41-Lot,-,BT-41-Lot,-
foreign-subsidies-measures-res,BT-682-Tender,-,BT-682-Tender,-
foreign-subsidies-regulation-lot,BT-681-Lot,-,BT-681-Lot,-
form-type,BT-03-notice,-,BT-03-notice,-
framework-agreement-lot,BT-765-Lot,-,BT-765-Lot,-
framework-agreement-part,BT-765-Part,-,BT-765-Part,-
framework-buyer-categories-lot,BT-111-Lot,-,BT-111-Lot,-
framework-duration-justification-lot,BT-109-Lot,-,BT-109-Lot,-
framework-estimated-value,BT-660-LotResult,-,BT-660-LotResult,-
framework-estimated-value-cur,,-,BT-660-LotResult,-
framework-estimated-value-cur-glo,,-,BT-157-LotsGroup,-
framework-estimated-value-glo,BT-157-LotsGroup,-,BT-157-LotsGroup,-
framework-maximum-participants-number-lot,BT-113-Lot,-,BT-113-Lot,-
framework-value-cur-notice,,-,BT-118-NoticeResult,-
framework-value-notice,BT-118-NoticeResult,-,BT-118-NoticeResult,-
funding,-,-,"BT-22-Procedure
BT-22-LotsGroup
BT-22-Part
BT-22-Lot",-
future-notice,future-notice,BT-127-notice,BT-127-notice,-
gpa-lot,BT-115-Lot,-,BT-115-Lot,-
gpa-part,BT-115-Part,-,BT-115-Part,-
group-framework-value-cur-notice,,-,BT-156-NoticeResult,-
group-framework-value-notice,,-,BT-156-NoticeResult,-
guarantee-required-description-lot,BT-75-Lot,-,BT-75-Lot,-
guarantee-required-lot,BT-751-Lot,-,BT-751-Lot,-
identifier-glo,BT-330-Procedure,-,BT-330-Procedure,-
identifier-lot,BT-137-Lot,-,BT-137-Lot,-
identifier-part,BT-137-Part,-,BT-137-Part,-
innovative-acquisition-lot,BT-776-Lot,-,BT-776-Lot,-
internal-identifier-glo,BT-22-LotsGroup,-,BT-22-LotsGroup,-
internal-identifier-lot,BT-22-Lot,-,BT-22-Lot,-
internal-identifier-part,BT-22-Part,-,BT-22-Part,-
internal-identifier-proc,BT-22-Procedure,-,BT-22-Procedure,-
issue-date,OPP-123-Business,-,OPP-123-Business,-
jury-decision-binding-lot,BT-42-Lot,-,BT-42-Lot,-
jury-member-name-lot,BT-46-Lot,-,BT-46-Lot,-
kilometer-public-transport,OPP-080-Tender,-,OPP-080-Tender,-
legal-basis,DI,-,BT-01-notice,-
legal-basis-notice,BT-01-notice,-,BT-01-notice,-
legal-basis-proc,BT-01(c)-procedure,-,BT-01(c)-procedure,-
legal-basis-text,BT-01(d)-procedure,-,BT-01(d)-procedure,-
lot-included-proc,BT-1375-Procedure,-,BT-1375-Procedure,-
lots-all-required-proc,BT-763-Procedure,-,BT-763-Procedure,-
lots-max-allowed-proc,BT-31-Procedure,-,BT-31-Procedure,-
lots-max-awarded-proc,BT-33-Procedure,-,BT-33-Procedure,-
main-activity,MA,-,"BT-10-Procedure-Buyer
BT-610-Procedure-Buyer",-
main-classification-lot,BT-262-Lot,-,BT-262-Lot,-
main-classification-part,BT-262-Part,-,BT-262-Part,-
main-classification-proc,BT-262-Procedure,-,BT-262-Procedure,-
maximum-candidates-lot,BT-51-Lot,-,BT-51-Lot,-
minimum-candidate-lot,BT-50-Lot,-,BT-50-Lot,-
missing-info-submission-description-lot,BT-772-Lot,-,BT-772-Lot,-
missing-info-submission-lot,BT-771-Lot,-,BT-771-Lot,-
modification-description,BT-202-Contract,-,BT-202-Contract,-
modification-justification,BT-200-Contract,-,BT-200-Contract,-
modification-modified-contract-reference,BT-1501(c)-Contract,-,BT-1501(c)-Contract,-
modification-part-reference,"BT-1501(p)-Contract, BT-1501(s)-Contract",-,"BT-1501(p)-Contract, BT-1501(s)-Contract",-
modification-previous-notice-identifier,BT-1501(n)-Contract,-,BT-1501(n)-Contract,-
modification-reason-description,BT-201-Contract,-,BT-201-Contract,-
multiple-tender-lot,BT-769-Lot,-,BT-769-Lot,-
non-award-justification,BT-144-LotResult,-,BT-144-LotResult,-
no-negocaition-necessary-lot,BT-120-Lot,-,BT-120-Lot,-
notice-identifier,BT-701-notice,-,BT-701-notice,-
notice-purpose,OPP-100-Business,-,OPP-100-Business,-
notice-subtype,OPP-070-notice,-,OPP-070-notice,Needed in the advanced search form. This will help to include 'change notices' in the appropriate results list 
notice-type,BT-02-notice,-,BT-02-notice,-
notice-version,BT-757-notice,-,BT-757-notice,-
official-language,OL,BT-702-notice,"BT-702(a)-notice
BT-702(b)-notice",-
ojs-number,OJ,OPP-011-notice,OPP-011-notice,-
option-description-lot,BT-54-lot,-,BT-54-lot,-
participant-name-lot,BT-47-Lot,-,BT-47-Lot,-
place-of-performance,RC,-,"BT-5071-Procedure
BT-5141-Procedure
BT-727-Procedure
BT-5071-Part
BT-5141-Part
BT-727-Part
BT-5071-Lot
BT-5141-Lot
BT-727-Lot
","NUTS, country codes and other-place-service codes can be used to search eForms notices (for example, RC=anyw-eea).
Only country codes and NUTS can be used to find TED notices."
place-of-performance-additional-part,BT-728-Part,-,BT-728-Part,-
place-of-performance-add-proc,BT-728-Procedure,-,BT-728-Procedure,-
place-of-performance-addtional-lot,BT-728-Lot,-,BT-728-Lot,-
place-of-performance-city-lot,BT-5131-Lot,-,BT-5131-Lot,-
place-of-performance-city-part,BT-5131-Part,-,BT-5131-Part,-
place-of-performance-city-proc,BT-5131-Procedure,-,BT-5131-Procedure,-
place-of-performance-country-lot,BT-5141-Lot,-,BT-5141-Lot,-
place-of-performance-country-part,BT-5141-Part,-,BT-5141-Part,-
place-of-performance-country-proc,BT-5141-Procedure,-,BT-5141-Procedure,-
place-of-performance-other-lot,BT-727-Lot,-,BT-727-Lot,-
place-of-performance-other-part,BT-727-Part,-,BT-727-Part,-
place-of-performance-other-proc,BT-727-Procedure,-,BT-727-Procedure,-
place-of-performance-post-code-lot,BT-5121-Lot,-,BT-5121-Lot,-
place-of-performance-post-code-part,BT-5121-Part,-,BT-5121-Part,-
place-of-performance-post-code-proc,BT-5121-Procedure,-,BT-5121-Procedure,-
place-of-performance-subdiv-lot,BT-5071-Lot,-,BT-5071-Lot,-
place-of-performance-subdiv-part,BT-5071-Part,-,BT-5071-Part,-
place-of-performance-subdiv-proc,BT-5071-Procedure,-,BT-5071-Procedure,-
predominance-lot,OPP-023-Contract,-,OPP-023-Contract,-
previous-planning-identifier-part-lot,BT-1251-Lot,-,BT-1251-Lot,-
previous-planning-identifier-part-part,BT-1251-Part,-,BT-1251-Part,-
prize-rank-lot,BT-44-Lot,-,BT-44-Lot,-
procedure-accelerated,BT-106-Procedure,-,BT-106-Procedure,-
procedure-features,BT-88-Procedure,-,BT-88-Procedure,-
procedure-identifier,BT-04-notice,-,BT-04-notice,-
procedure-justification,BT-1351-Procedure,-,BT-1351-Procedure,-
procedure-type,PR,BT-105-Procedure,BT-105-Procedure,-
procurement-relaunch,BT-634-Lot,-,BT-634-Lot,-
publication-date,PD,OPP-012-notice,OPP-012-notice,-
publication-name,OPP-120-Business,-,OPP-120-Business,-
publication-number,ND,OPP-010-notice,OPP-010-notice,-
public-opening-date-lot,BT-132(d)-Lot,-,BT-132(d)-Lot,-
public-opening-description-lot,BT-134-Lot,-,BT-134-Lot,-
public-opening-place-lot,BT-133-Lot,-,BT-133-Lot,-
public-opening-time-lot,BT-132(t)-Lot,-,BT-132(t)-Lot,-
quality-target-code-lot,OPT-071-Lot,-,OPT-071-Lot,-
quality-target-description-lot,OPT-072-Lot,-,OPT-072-Lot,-
received-submissions-type-code,BT-760-LotResult,-,BT-760-LotResult,-
received-submissions-type-val,BT-759-LotResult,-,BT-759-LotResult,-
recurrence-description-lot,BT-95-Lot,-,BT-95-Lot,-
recurrence-lot,BT-94-Lot,-,BT-94-Lot,-
registration-date,OPP-113-Business-European,-,OPP-113-Business-European,-
registration-place-country,OPP-112-Business,-,OPP-112-Business,-
registration-place-postcode,OPP-111-Business,-,OPP-111-Business,-
registration-place-town,OPP-110-Business,-,OPP-110-Business,-
renewal-description-lot,BT-57-Lot,-,BT-57-Lot,-
renewal-maximum-lot,BT-58-Lot,-,BT-58-Lot,-
requirement-stage-lot,BT-79-Lot,-,BT-79-Lot,-
reserved-execution-lot,BT-736-Lot,-,BT-736-Lot,-
reserved-execution-part,BT-736-Part,-,BT-736-Part,-
reserved-procurement-lot,BT-71-Lot,-,BT-71-Lot,-
result-lot-identifier,BT-13713-LotResult,-,BT-13713-LotResult,-
result-value-cur-lot,,-,BT-709-LotResult,-
result-value-cur-notice,,-,BT-161-NoticeResult,-
result-value-lot,BT-709-LotResult,-,BT-709-LotResult,-
result-value-notice,BT-161-NoticeResult,-,BT-161-NoticeResult,-
revenues-allocation-lot,OPP-032-Tender,-,OPP-032-Tender,-
review-deadline-description-lot,BT-99-Lot,-,BT-99-Lot,-
reward-other-lot,BT-45-Lot,-,BT-45-Lot,-
security-clearance-lot,BT-578-Lot,-,BT-578-Lot,-
security-clearence-deadline-lot,BT-78-Lot,-,BT-78-Lot,-
selection-criteria-second-stage-invite-lot,BT-40-Lot,-,BT-40-Lot,-
selection-criteria-second-stage-invite-number-lot,BT-752-Lot,-,BT-752-Lot,-
selection-criteria-second-stage-invite-number-threshold-lot,BT-7532-Lot,-,BT-7532-Lot,-
selection-criteria-second-stage-invite-number-weight-lot,BT-7531-Lot,-,BT-7531-Lot,-
selection-criteria-source,BT-821-Lot,-,BT-821-Lot,-
selection-criterion-description-lot,BT-750-Lot,-,BT-750-Lot,-
selection-criterion-lot,"BT-809-Lot, BT-747-Lot",-,"BT-809-Lot, BT-747-Lot",-
selection-criterion-name-lot,BT-749-Lot,-,BT-749-Lot,-
selection-criterion-used-lot,BT-748-Lot,-,BT-748-Lot,-
significance-lot,OPP-022-Contract,-,OPP-022-Contract,-
sme-lot,BT-726-Lot,-,BT-726-Lot,-
sme-part,BT-726-Part,-,BT-726-Part,-
social-objective-lot,BT-775-Lot,-,BT-775-Lot,-
strategic-procurement-description-lot,BT-777-Lot,-,BT-777-Lot,-
strategic-procurement-lot,BT-06-Lot,-,BT-06-Lot,-
subcontracting,BT-773-Tender,-,BT-773-Tender,-
subcontracting-allowed-lot,OPT-150-LOT,-,OPT-150-LOT,-
subcontracting-description,BT-554-Tender,-,BT-554-Tender,-
subcontracting-indication-lot,BT-651-Lot,-,BT-651-Lot,-
subcontracting-obligation-lot,BT-65-Lot,-,BT-65-Lot,-
subcontracting-obligation-maximum-lot,BT-729-Lot,-,BT-729-Lot,-
subcontracting-obligation-minimum-lot,BT-64-Lot,-,BT-64-Lot,-
subcontracting-percentage,BT-555-Tender,-,BT-555-Tender,Percentage fields are searchable using numbers between 0 and 100 in the expert search (e.g. subcontracting-percentage=55).
subcontracting-percentage-ind,BT-731-Tender,-,BT-731-Tender,"Indicator fields are searchable using ""true"" or ""false"" values in the expert search (e.g. subcontracting-percentage-ind=true)."
subcontracting-value,BT-553-Tender,-,BT-553-Tender,-
subcontracting-value-cur,,-,BT-553-Tender,-
submission-language,SUB_LG,BT-97-Lot,BT-97-Lot,-
submission-nonelectronic-description-lot,BT-745-Lot,-,BT-745-Lot,-
submission-nonelectronic-lot,BT-19-Lot,-,BT-19-Lot,-
submission-url-lot,BT-18-Lot,-,BT-18-Lot,-
successive-redution-lot,BT-52-Lot,-,BT-52-Lot,-
tender-identifier,-,-,BT-3201-Tender[BT-3202-Contract],-
tender-lot-identifier,BT-13714-Tender,-,BT-13714-Tender,-
tender-rank,BT-171-Tender,-,BT-171-Tender,-
tender-validity-deadline-lot,BT-98-Lot,-,BT-98-Lot,"A unit suffix should be used to search a period with expert query  (e.g. contract-duration-period-val-lot=5d). ""d"", ""m"" and ""y"" units are allowed.
The value is internally indexed in days.
Here is the conversion table used for search:
- 1w=1d
- 1m=30.5d
- 12m=365d
- 1y=365d
The resulting number of days will be always floored (i.e. a duration of 1 month is converted into 30.5 days, that is floored to 30 days)."
tender-value,BT-720-Tender,-,BT-720-Tender,-
tender-value-cur,,-,BT-720-Tender,-
tender-value-cur-highest,,-,BT-711-LotResult,-
tender-value-cur-lowest,,-,BT-710-LotResult,-
tender-value-highest,BT-711-LotResult,-,BT-711-LotResult,-
tender-value-lowest,BT-710-LotResult,-,BT-710-LotResult,-
tender-variant,BT-193-Tender,-,BT-193-Tender,-
term-performance-lot,BT-70-Lot,-,BT-70-Lot,-
title-glo,BT-21-LotsGroup,-,BT-21-LotsGroup,-
title-lot,BT-21-Lot,-,BT-21-Lot,-
title-part,BT-21-Part,-,BT-21-Part,-
title-proc,BT-21-Procedure,-,BT-21-Procedure,-
tool-atypical-url-lot,BT-124-Lot,-,BT-124-Lot,-
tool-name-lot,BT-632-Lot,-,BT-632-Lot,-
tool-name-part,BT-632-Part,-,BT-632-Part,-
tool-url-part,BT-124-Part,-,BT-124-Part,-
total-value,TV,-,"BT-161-NoticeResult
BT-118-NoticeResult
BT-27-Procedure
BT-660-LotResult
BT-644-Lot","Only the first value available in the list of the column ""Reference in the eForms SDK"" will be searchable. For example, if the notice has BT-161-NoticeResult and BT-118-NoticeResult, only BT-161-NoticeResult will be searchable."
total-value-cur,TV_CUR,-,"BT-161-NoticeResult
BT-118-NoticeResult
BT-27-Procedure
BT-660-LotResult
BT-644-Lot","Only the first value available in the list of the column ""Reference in the eForms SDK"" will be searchable. For example, if the notice has BT-161-NoticeResult and BT-118-NoticeResult, only BT-161-NoticeResult will be searchable."
ubo-city,-,-,BT-513-UBO,-
ubo-country,-,-,BT-514-UBO,-
ubo-country-sub,-,-,BT-507-UBO,-
ubo-email,-,-,BT-506-UBO,-
ubo-fax,-,-,BT-739-UBO,-
